Name,2014,2015,2016,2017
YAMADA - TOTAL DEBT % TOTAL CAPITAL/STD,36.02,34.76,27.69,25.91
YAMADA - BOOK VALUE-OUT SHARES-FISCAL,733.016,725.393,723.503,794.196
YAMADA - PRICE TO BOOK VAL,0.9,0.74,0.64,0.74
YAKULT HONSHA CO. - RETURN ON ASSETS,5.69,5.72,6.52,6.35
YAKULT HONSHA CO. - TOTAL DEBT % COMMON EQUITY,38.57,34.2,30.52,23.76
YAKULT HONSHA CO. - TOTAL DEBT % TOTAL CAPITAL/STD,25.99,23.75,21.66,17.95
YAKULT HONSHA CO. - BOOK VALUE-OUT SHARES-FISCAL,1097.155,1114.901,1165.292,1261.904
YAKULT HONSHA CO. - PRICE TO BOOK VAL,3.57,3.17,2.63,1.99
YAOKO CO LTD - RETURN ON ASSETS,5.91,5.73,5.63,5.99
YAOKO CO LTD - TOTAL DEBT % COMMON EQUITY,81.08,69.3,66.55,66.06
YAOKO CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,44.78,40.93,39.96,39.78
YAOKO CO LTD - BOOK VALUE-OUT SHARES-FISCAL,2179.805,2422.221,2679.21,3003.125
YAOKO CO LTD - PRICE TO BOOK VAL,2.43,1.94,2.11,2.1
YASKAWA ELECTRIC - RETURN ON ASSETS,10.64,9.41,3.64,4.26
YASKAWA ELECTRIC - TOTAL DEBT % COMMON EQUITY,13.67,19.72,35.72,31.08
YASKAWA ELECTRIC - TOTAL DEBT % TOTAL CAPITAL/STD,11.9,16.31,26.08,23.47
YASKAWA ELECTRIC - BOOK VALUE-OUT SHARES-FISCAL,886.656,935.275,873.693,942.113
YASKAWA ELECTRIC - PRICE TO BOOK VAL,5.08,4.48,3.24,5.3
LY CORP - RETURN ON ASSETS,6.56,3.22,2.6,1.41
LY CORP - TOTAL DEBT % COMMON EQUITY,18.81,26.3,140.81,51.8
LY CORP - TOTAL DEBT % TOTAL CAPITAL/STD,14.52,19.12,50.9,31.73
LY CORP - BOOK VALUE-OUT SHARES-FISCAL,177.97,160.962,162.007,353.166
LY CORP - PRICE TO BOOK VAL,2.87,1.7,1.05,1.52
SEINO HOLDINGS CO - RETURN ON ASSETS,3.36,3.41,4.05,2.61
SEINO HOLDINGS CO - TOTAL DEBT % COMMON EQUITY,6.36,6.05,5.23,11.67
SEINO HOLDINGS CO - TOTAL DEBT % TOTAL CAPITAL/STD,5.89,5.62,4.9,10.38
SEINO HOLDINGS CO - BOOK VALUE-OUT SHARES-FISCAL,1998.904,2057.988,2160.502,2297.614
SEINO HOLDINGS CO - PRICE TO BOOK VAL,0.92,0.69,0.54,0.64
YAMAHA MOTOR CO. - RETURN ON ASSETS,6.8,5.38,3.55,9.23
YAMAHA MOTOR CO. - TOTAL DEBT % COMMON EQUITY,54.29,53.02,66.73,54.6
YAMAHA MOTOR CO. - TOTAL DEBT % TOTAL CAPITAL/STD,33.91,33.21,38.9,34.25
YAMAHA MOTOR CO. - BOOK VALUE-OUT SHARES-FISCAL,627.546,672.945,681.718,828.105
YAMAHA MOTOR CO. - PRICE TO BOOK VAL,1.76,1.14,0.64,1.13
YAMAGUCHI FINL GRP - RETURN ON ASSETS,0.33,0.24,0.26,0.23
YAMAGUCHI FINL GRP - TOTAL DEBT % COMMON EQUITY,31.02,40.39,45.14,170.73
YAMAGUCHI FINL GRP - TOTAL DEBT % TOTAL CAPITAL/STD,23.51,28.58,30.89,62.85
YAMAGUCHI FINL GRP - BOOK VALUE-OUT SHARES-FISCAL,2655.055,2581.563,2459.232,2730.416
YAMAGUCHI FINL GRP - PRICE TO BOOK VAL,0.52,0.36,0.21,0.26
RYOHIN KEIKAKU CO. - RETURN ON ASSETS,13.33,13.61,-4.59,9.52
RYOHIN KEIKAKU CO. - TOTAL DEBT % COMMON EQUITY,1.23,0.93,60.53,51.62
RYOHIN KEIKAKU CO. - TOTAL DEBT % TOTAL CAPITAL/STD,1.18,0.9,37.46,33.83
RYOHIN KEIKAKU CO. - BOOK VALUE-OUT SHARES-FISCAL,649.097,727.319,688.478,809.051
RYOHIN KEIKAKU CO. - PRICE TO BOOK VAL,4.74,3.43,1.57,3.17
YOKOHAMA RUBBER CO - RETURN ON ASSETS,4.29,5.03,3.26,7.32
YOKOHAMA RUBBER CO - TOTAL DEBT % COMMON EQUITY,70.9,57.26,50.01,33.74
YOKOHAMA RUBBER CO - TOTAL DEBT % TOTAL CAPITAL/STD,40.95,35.93,32.95,24.96
YOKOHAMA RUBBER CO - BOOK VALUE-OUT SHARES-FISCAL,2331.858,2610.746,2588.162,3270.625
YOKOHAMA RUBBER CO - PRICE TO BOOK VAL,1.1,0.83,0.53,0.61
ASTELLAS PHARMA INC - RETURN ON ASSETS,9.51,12.53,9.69,5.46
ASTELLAS PHARMA INC - TOTAL DEBT % COMMON EQUITY,4.49,5.33,36.72,20.08
ASTELLAS PHARMA INC - TOTAL DEBT % TOTAL CAPITAL/STD,4.3,5.06,26.86,16.72
ASTELLAS PHARMA INC - BOOK VALUE-OUT SHARES-FISCAL,641.797,667.288,694.03,748.026
ASTELLAS PHARMA INC - PRICE TO BOOK VAL,2.37,2.33,2.31,2.05
SUMITOMO OSAKA CEM. - RETURN ON ASSETS,4.51,2.5,3.55,3.75
SUMITOMO OSAKA CEM. - TOTAL DEBT % COMMON EQUITY,30.63,31.84,27.49,25.93
SUMITOMO OSAKA CEM. - TOTAL DEBT % TOTAL CAPITAL/STD,23.29,23.97,21.39,20.43
SUMITOMO OSAKA CEM. - BOOK VALUE-OUT SHARES-FISCAL,4988.12,4985.376,5100.941,5397.246
SUMITOMO OSAKA CEM. - PRICE TO BOOK VAL,0.96,0.89,0.65,0.63
CENTRAL GLASS CO LTD - RETURN ON ASSETS,1.06,2.59,2.3,0.49
CENTRAL GLASS CO LTD - TOTAL DEBT % COMMON EQUITY,41.27,44.41,45.36,38.34
CENTRAL GLASS CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,28.81,30.29,30.77,27.3
CENTRAL GLASS CO LTD - BOOK VALUE-OUT SHARES-FISCAL,4255.088,4083.722,3978.444,4091.418
CENTRAL GLASS CO LTD - PRICE TO BOOK VAL,0.62,0.67,0.46,0.74
MITSUBISHI CORP - RETURN ON ASSETS,3.78,3.96,3.47,1.03
MITSUBISHI CORP - TOTAL DEBT % COMMON EQUITY,96.57,94.4,138.95,127.98
MITSUBISHI CORP - TOTAL DEBT % TOTAL CAPITAL/STD,45.11,44.76,53.88,52.35
MITSUBISHI CORP - BOOK VALUE-OUT SHARES-FISCAL,1120.779,1196.456,1173.767,1267.671
MITSUBISHI CORP - PRICE TO BOOK VAL,0.81,0.87,0.59,0.65
AISIN CORP - RETURN ON ASSETS,4.21,3.28,0.77,2.91
AISIN CORP - TOTAL DEBT % COMMON EQUITY,40.34,46.22,78.55,63.56
AISIN CORP - TOTAL DEBT % TOTAL CAPITAL/STD,22.67,24.94,35.9,35.69
AISIN CORP - BOOK VALUE-OUT SHARES-FISCAL,1620.56,1665.996,1583.358,1899.1
AISIN CORP - PRICE TO BOOK VAL,1.18,0.9,0.49,0.61
SHIMADZU CORP - RETURN ON ASSETS,7.6,7.75,7.5,7.96
SHIMADZU CORP - TOTAL DEBT % COMMON EQUITY,8.1,7.3,2.52,3.06
SHIMADZU CORP - TOTAL DEBT % TOTAL CAPITAL/STD,7.48,6.8,2.46,2.97
SHIMADZU CORP - BOOK VALUE-OUT SHARES-FISCAL,908.764,977.344,1027.866,1138.672
SHIMADZU CORP - PRICE TO BOOK VAL,3.07,3.16,2.55,3.18
ISETAN MITSUKOSHI - RETURN ON ASSETS,-0.01,1.13,-0.84,-3.34
ISETAN MITSUKOSHI - TOTAL DEBT % COMMON EQUITY,24.5,23.9,33.88,42.83
ISETAN MITSUKOSHI - TOTAL DEBT % TOTAL CAPITAL/STD,19.42,19.07,25.1,29.79
ISETAN MITSUKOSHI - BOOK VALUE-OUT SHARES-FISCAL,1483.943,1481.064,1431.501,1321.025
ISETAN MITSUKOSHI - PRICE TO BOOK VAL,0.77,0.73,0.47,0.55
AIA GROUP LIMITED - RETURN ON ASSETS,1.26,2.72,1.99,2.36
AIA GROUP LIMITED - TOTAL DEBT % COMMON EQUITY,18.04,19,22.33,22.38
AIA GROUP LIMITED - TOTAL DEBT % TOTAL CAPITAL/STD,14.41,12.31,14.42,16.05
AIA GROUP LIMITED - BOOK VALUE-OUT SHARES-FISCAL,23.862,27.609,30.783,33.551
AIA GROUP LIMITED - PRICE TO BOOK VAL,3,2.9,2.33,2.91
HANG LUNG PROPERTIES - RETURN ON ASSETS,4.85,3.2,-1.19,1.91
HANG LUNG PROPERTIES - TOTAL DEBT % COMMON EQUITY,20.04,21.63,27.65,32.48
HANG LUNG PROPERTIES - TOTAL DEBT % TOTAL CAPITAL/STD,16.11,16.87,20.51,23.2
HANG LUNG PROPERTIES - BOOK VALUE-OUT SHARES-FISCAL,30.583,30.829,30.746,31.5
HANG LUNG PROPERTIES - PRICE TO BOOK VAL,0.6,0.62,0.54,0.66
ASMPT LTD - RETURN ON ASSETS,12.04,3.57,7.98,13.35
ASMPT LTD - TOTAL DEBT % COMMON EQUITY,31.35,39.51,34.7,27.79
ASMPT LTD - TOTAL DEBT % TOTAL CAPITAL/STD,23.88,28.31,25.73,21.6
ASMPT LTD - BOOK VALUE-OUT SHARES-FISCAL,29.305,28.438,32.059,37.013
ASMPT LTD - PRICE TO BOOK VAL,3.71,3.31,2.54,2.83
BUDWEISER BREWING - RETURN ON ASSETS,6.03,5.96,3.38,5.97
BUDWEISER BREWING - TOTAL DEBT % COMMON EQUITY,6.06,3.18,2.2,1.84
BUDWEISER BREWING - TOTAL DEBT % TOTAL CAPITAL/STD,5.7,3.07,2.14,1.8
BUDWEISER BREWING - BOOK VALUE-OUT SHARES-FISCAL,6.744,5.786,6.255,6.483
BUDWEISER BREWING - PRICE TO BOOK VAL,NA,NA,3.33,3.79
BANK OF EAST ASIA - RETURN ON ASSETS,0.83,0.47,0.47,0.61
BANK OF EAST ASIA - TOTAL DEBT % COMMON EQUITY,53.7,59.18,62.11,57.92
BANK OF EAST ASIA - TOTAL DEBT % TOTAL CAPITAL/STD,34.24,37.09,38.09,36.61
BANK OF EAST ASIA - BOOK VALUE-OUT SHARES-FISCAL,32.265,32.785,33.9,34.82
BANK OF EAST ASIA - PRICE TO BOOK VAL,1.01,0.77,0.5,0.47
BEIJING ENTERPRISES - RETURN ON ASSETS,5.02,5.25,3.14,5.3
BEIJING ENTERPRISES - TOTAL DEBT % COMMON EQUITY,85.43,85.83,81.71,76.02
BEIJING ENTERPRISES - TOTAL DEBT % TOTAL CAPITAL/STD,42.35,42.61,41.59,40.08
BEIJING ENTERPRISES - BOOK VALUE-OUT SHARES-FISCAL,55.206,59.65,67.269,76.049
BEIJING ENTERPRISES - PRICE TO BOOK VAL,0.75,0.71,0.41,0.34
HEALTH AND HA - RETURN ON ASSETS,7.7,8.27,8.16,3.67
HEALTH AND HA - TOTAL DEBT % COMMON EQUITY,123.04,107.95,99.53,161.05
HEALTH AND HA - TOTAL DEBT % TOTAL CAPITAL/STD,55.17,51.91,49.88,61.69
HEALTH AND HA - BOOK VALUE-OUT SHARES-FISCAL,7.574,8.695,9.625,9.121
HEALTH AND HA - PRICE TO BOOK VAL,6.72,5.01,2.7,2.71
BOC HONG KONG - RETURN ON ASSETS,1.19,1.14,0.87,0.69
BOC HONG KONG - TOTAL DEBT % COMMON EQUITY,221.66,168.59,186.5,240.45
BOC HONG KONG - TOTAL DEBT % TOTAL CAPITAL/STD,68.55,62.33,64.64,70.21
BOC HONG KONG - BOOK VALUE-OUT SHARES-FISCAL,24.314,26.368,27.457,28.185
BOC HONG KONG - PRICE TO BOOK VAL,1.54,1.33,0.88,0.97
BOC AVIATION LTD - RETURN ON ASSETS,5.62,5.87,4.37,4.18
BOC AVIATION LTD - TOTAL DEBT % COMMON EQUITY,292.42,290.7,349.77,317.48
BOC AVIATION LTD - TOTAL DEBT % TOTAL CAPITAL/STD,74.52,74.4,77.77,76.05
BOC AVIATION LTD - BOOK VALUE-OUT SHARES-FISCAL,47.387,51.419,53.356,59.154
BOC AVIATION LTD - PRICE TO BOOK VAL,0.98,1.3,0.91,1.21
BOSIDENG INTERNATIO - RETURN ON ASSETS,4.94,7.22,8.25,10.34
BOSIDENG INTERNATIO - TOTAL DEBT % COMMON EQUITY,24.37,16.44,31.57,26.32
BOSIDENG INTERNATIO - TOTAL DEBT % TOTAL CAPITAL/STD,19.29,13.87,23.66,20.57
BOSIDENG INTERNATIO - BOOK VALUE-OUT SHARES-FISCAL,0.91,0.935,0.956,1.025
BOSIDENG INTERNATIO - PRICE TO BOOK VAL,0.73,2.05,1.63,2.74
CAFE DE CORAL - RETURN ON ASSETS,10.18,13.02,2.23,6.7
CAFE DE CORAL - TOTAL DEBT % COMMON EQUITY,0,0,97.5,106.63
CAFE DE CORAL - TOTAL DEBT % TOTAL CAPITAL/STD,0,0,49.32,51.55
CAFE DE CORAL - BOOK VALUE-OUT SHARES-FISCAL,6.096,5.883,4.598,5.226
CAFE DE CORAL - PRICE TO BOOK VAL,3.32,4.24,3.05,3.43
CATHAY PACIFIC AIR - RETURN ON ASSETS,2.08,0.99,-9.08,-1.52
CATHAY PACIFIC AIR - TOTAL DEBT % COMMON EQUITY,115.58,154.94,127.13,126.02
CATHAY PACIFIC AIR - TOTAL DEBT % TOTAL CAPITAL/STD,53.61,60.77,55.97,55.75
CATHAY PACIFIC AIR - BOOK VALUE-OUT SHARES-FISCAL,14.158,13.9,11.38,11.141
CATHAY PACIFIC AIR - PRICE TO BOOK VAL,0.82,0.85,0.69,0.64
BRILLIANCE - RETURN ON ASSETS,15.05,15.08,0.29,24.69
BRILLIANCE - TOTAL DEBT % COMMON EQUITY,20.32,33.52,21.47,7.51
BRILLIANCE - TOTAL DEBT % TOTAL CAPITAL/STD,16.51,24.75,17.6,7.15
BRILLIANCE - BOOK VALUE-OUT SHARES-FISCAL,7.014,7.523,7.836,10.29
BRILLIANCE - PRICE TO BOOK VAL,2.25,1.15,0.86,0.71
CHINA WATER AFFAIRS - RETURN ON ASSETS,4.96,5.01,5.06,4.42
CHINA WATER AFFAIRS - TOTAL DEBT % COMMON EQUITY,153.78,188.59,210.25,187.1
CHINA WATER AFFAIRS - TOTAL DEBT % TOTAL CAPITAL/STD,49.36,53.38,55.57,53.09
CHINA WATER AFFAIRS - BOOK VALUE-OUT SHARES-FISCAL,4.456,4.954,5.304,6.455
CHINA WATER AFFAIRS - PRICE TO BOOK VAL,1.62,1.56,0.92,0.79
CHAODA MODERN - RETURN ON ASSETS,-91.1,-16.08,-4.38,-9.55
CHAODA MODERN - TOTAL DEBT % COMMON EQUITY,0,0,2.78,1.73
CHAODA MODERN - TOTAL DEBT % TOTAL CAPITAL/STD,0,0,2.7,1.68
CHAODA MODERN - BOOK VALUE-OUT SHARES-FISCAL,2.277,1.842,1.712,1.647
CHAODA MODERN - PRICE TO BOOK VAL,1.78,1.02,0.55,0.97
CHINA RESOURCES LAND - RETURN ON ASSETS,4.56,4.23,3.67,3.69
CHINA RESOURCES LAND - TOTAL DEBT % COMMON EQUITY,99.16,92.69,90.68,88.14
CHINA RESOURCES LAND - TOTAL DEBT % TOTAL CAPITAL/STD,43.85,41.62,41.67,40.42
CHINA RESOURCES LAND - BOOK VALUE-OUT SHARES-FISCAL,22.731,26.075,32.657,37.694
CHINA RESOURCES LAND - PRICE TO BOOK VAL,1.32,1.32,1,0.97
CHINA EDUCATION - RETURN ON ASSETS,7.62,5.94,4.32,7.26
CHINA EDUCATION - TOTAL DEBT % COMMON EQUITY,3.86,64.7,60.92,77.31
CHINA EDUCATION - TOTAL DEBT % TOTAL CAPITAL/STD,3.54,37.74,36.9,41.76
CHINA EDUCATION - BOOK VALUE-OUT SHARES-FISCAL,3.494,3.577,4.513,5.783
CHINA EDUCATION - PRICE TO BOOK VAL,2.93,3.53,2.37,2.44
CHINA EVERBRIGHT - RETURN ON ASSETS,6.36,6.15,5.59,5.07
CHINA EVERBRIGHT - TOTAL DEBT % COMMON EQUITY,113.56,146.31,166.39,191.45
CHINA EVERBRIGHT - TOTAL DEBT % TOTAL CAPITAL/STD,48.63,54.32,57.44,60.64
CHINA EVERBRIGHT - BOOK VALUE-OUT SHARES-FISCAL,5.523,5.917,7.336,8.429
CHINA EVERBRIGHT - PRICE TO BOOK VAL,1.97,1.31,0.61,0.63
CK HUTCHISON - RETURN ON ASSETS,4.25,4.34,3.21,3.54
CK HUTCHISON - TOTAL DEBT % COMMON EQUITY,81.82,97.3,92.44,82.72
CK HUTCHISON - TOTAL DEBT % TOTAL CAPITAL/STD,38.69,43.59,42.52,40.18
CK HUTCHISON - BOOK VALUE-OUT SHARES-FISCAL,115.696,120.398,128.181,133.82
CK HUTCHISON - PRICE TO BOOK VAL,0.8,0.7,0.45,0.47
CHINESE ESTATES HLDG - RETURN ON ASSETS,2.51,2.24,1.85,-11.6
CHINESE ESTATES HLDG - TOTAL DEBT % COMMON EQUITY,40.36,40.44,25.69,38.37
CHINESE ESTATES HLDG - TOTAL DEBT % TOTAL CAPITAL/STD,28.71,28.78,20.43,27.7
CHINESE ESTATES HLDG - BOOK VALUE-OUT SHARES-FISCAL,17.856,17.597,15.076,7.536
CHINESE ESTATES HLDG - PRICE TO BOOK VAL,0.66,0.5,0.23,0.53
CHINA ORIENTAL GROUP - RETURN ON ASSETS,18.27,10.19,4.59,5.9
CHINA ORIENTAL GROUP - TOTAL DEBT % COMMON EQUITY,28,33.29,75.03,81.45
CHINA ORIENTAL GROUP - TOTAL DEBT % TOTAL CAPITAL/STD,21.61,24.67,42.24,44.28
CHINA ORIENTAL GROUP - BOOK VALUE-OUT SHARES-FISCAL,4.676,5.239,5.556,6.058
CHINA ORIENTAL GROUP - PRICE TO BOOK VAL,0.99,0.87,0.35,0.33
CHINA RESOURCES - RETURN ON ASSETS,2.72,3.58,5.21,10.36
CHINA RESOURCES - TOTAL DEBT % COMMON EQUITY,3.78,3.69,0.94,0.54
CHINA RESOURCES - TOTAL DEBT % TOTAL CAPITAL/STD,3.63,3.54,0.93,0.53
CHINA RESOURCES - BOOK VALUE-OUT SHARES-FISCAL,6.615,6.784,7.768,9.238
CHINA RESOURCES - PRICE TO BOOK VAL,5.52,5,4.84,6.61
CHINA HIGH SPEED - RETURN ON ASSETS,3.03,3.41,4.17,5.53
CHINA HIGH SPEED - TOTAL DEBT % COMMON EQUITY,68.32,46.73,19.48,29.84
CHINA HIGH SPEED - TOTAL DEBT % TOTAL CAPITAL/STD,40.43,31.61,15.86,22.25
CHINA HIGH SPEED - BOOK VALUE-OUT SHARES-FISCAL,6.599,6.853,7.47,8.194
CHINA HIGH SPEED - PRICE TO BOOK VAL,1.5,0.79,0.53,0.67
CHINA TAIPING INSU - RETURN ON ASSETS,1.21,1.36,0.81,0.79
CHINA TAIPING INSU - TOTAL DEBT % COMMON EQUITY,136.13,138.59,124.89,129.79
CHINA TAIPING INSU - TOTAL DEBT % TOTAL CAPITAL/STD,52.97,50.84,46.1,50.24
CHINA TAIPING INSU - BOOK VALUE-OUT SHARES-FISCAL,17.424,19.527,22.222,24.556
CHINA TAIPING INSU - PRICE TO BOOK VAL,1.51,1.26,0.57,0.62
CK INFRASTRU - RETURN ON ASSETS,7.36,7.18,5,5.01
CK INFRASTRU - TOTAL DEBT % COMMON EQUITY,41.84,41.63,42.46,34.64
CK INFRASTRU - TOTAL DEBT % TOTAL CAPITAL/STD,29.49,29.38,29.78,25.71
CK INFRASTRU - BOOK VALUE-OUT SHARES-FISCAL,42.536,44.294,42.043,45.973
CK INFRASTRU - PRICE TO BOOK VAL,1.48,1.42,1.13,1.01
CK ASSET HOLDINGS - RETURN ON ASSETS,8.98,6.25,3.49,4.15
CK ASSET HOLDINGS - TOTAL DEBT % COMMON EQUITY,25.09,28.68,25.87,29.88
CK ASSET HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,19.77,22.02,20.26,22.67
CK ASSET HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,87.594,93.208,96.02,101.885
CK ASSET HOLDINGS - PRICE TO BOOK VAL,0.76,0.74,0.48,0.47
CLP HOLDINGS LTD - RETURN ON ASSETS,6.6,2.5,5.63,4.1
CLP HOLDINGS LTD - TOTAL DEBT % COMMON EQUITY,56.02,53.42,52.1,55.13
CLP HOLDINGS LTD - TOTAL DEBT % TOTAL CAPITAL/STD,33.9,32.8,32.38,33.66
CLP HOLDINGS LTD - BOOK VALUE-OUT SHARES-FISCAL,43.165,41.74,44.41,44.74
CLP HOLDINGS LTD - PRICE TO BOOK VAL,1.86,2.15,1.79,1.67
POLY PROPERTY GR - RETURN ON ASSETS,2.04,2.88,1.37,1.39
POLY PROPERTY GR - TOTAL DEBT % COMMON EQUITY,194.12,201.02,251.57,228.59
POLY PROPERTY GR - TOTAL DEBT % TOTAL CAPITAL/STD,64.05,65.21,69.46,65.37
POLY PROPERTY GR - BOOK VALUE-OUT SHARES-FISCAL,8.163,8.89,9.68,10.345
POLY PROPERTY GR - PRICE TO BOOK VAL,0.48,0.39,0.27,0.22
CHINA OVERSEAS LAND - RETURN ON ASSETS,6.73,6.22,5.63,4.83
CHINA OVERSEAS LAND - TOTAL DEBT % COMMON EQUITY,73.58,72.55,71.35,73.26
CHINA OVERSEAS LAND - TOTAL DEBT % TOTAL CAPITAL/STD,41.53,41.32,40.57,41.34
CHINA OVERSEAS LAND - BOOK VALUE-OUT SHARES-FISCAL,25.874,28.654,34.063,38.502
CHINA OVERSEAS LAND - PRICE TO BOOK VAL,1.07,1.04,0.79,0.52
CHINA OVERSEAS PROP - RETURN ON ASSETS,11.46,13.83,13.49,13.67
CHINA OVERSEAS PROP - TOTAL DEBT % COMMON EQUITY,0,3.6,2.95,2.47
CHINA OVERSEAS PROP - TOTAL DEBT % TOTAL CAPITAL/STD,0,3.43,2.82,2.37
CHINA OVERSEAS PROP - BOOK VALUE-OUT SHARES-FISCAL,0.341,0.461,0.654,0.913
CHINA OVERSEAS PROP - PRICE TO BOOK VAL,7.19,8.29,12.24,7.68
CHINA POWER INTN'L - RETURN ON ASSETS,2.73,2.85,2.79,0.84
CHINA POWER INTN'L - TOTAL DEBT % COMMON EQUITY,216.76,259.13,310.87,331.98
CHINA POWER INTN'L - TOTAL DEBT % TOTAL CAPITAL/STD,60.24,63.51,68.83,69.02
CHINA POWER INTN'L - BOOK VALUE-OUT SHARES-FISCAL,3.477,3.459,3.679,3.715
CHINA POWER INTN'L - PRICE TO BOOK VAL,0.58,0.59,0.42,0.48
CHINA RES - RETURN ON ASSETS,14.45,14.73,14.18,10.79
CHINA RES - TOTAL DEBT % COMMON EQUITY,33.2,18.88,13.83,18.98
CHINA RES - TOTAL DEBT % TOTAL CAPITAL/STD,24.82,15.79,12.07,15.77
CHINA RES - BOOK VALUE-OUT SHARES-FISCAL,5.398,6.012,7.107,7.856
CHINA RES - PRICE TO BOOK VAL,1.33,1.42,1.33,1.13
CHAMPION REIT - RETURN ON ASSETS,10.05,-0.1,-15.48,-0.58
CHAMPION REIT - TOTAL DEBT % COMMON EQUITY,22.47,23.09,32.24,31.23
CHAMPION REIT - TOTAL DEBT % TOTAL CAPITAL/STD,18.35,18.76,24.38,23.8
CHAMPION REIT - BOOK VALUE-OUT SHARES-FISCAL,11.418,11.04,8.611,8.247
CHAMPION REIT - PRICE TO BOOK VAL,0.49,0.59,0.54,0.57
CHINA RESOURCES - RETURN ON ASSETS,3.18,4.43,4.31,0.95
CHINA RESOURCES - TOTAL DEBT % COMMON EQUITY,137.84,129.62,133.06,158.73
CHINA RESOURCES - TOTAL DEBT % TOTAL CAPITAL/STD,55.57,53.59,54.3,59.07
CHINA RESOURCES - BOOK VALUE-OUT SHARES-FISCAL,14.58,15.16,17.837,18.374
CHINA RESOURCES - PRICE TO BOOK VAL,0.97,0.77,0.5,0.55
CHINA HUARONG - RETURN ON ASSETS,1,3.22,59.01,1.31
CHINA HUARONG - TOTAL DEBT % COMMON EQUITY,-55.61,-57.48,-59.21,-59.81
CHINA HUARONG - TOTAL DEBT % TOTAL CAPITAL/STD,-112.53,-134.73,-144.09,-154.88
CHINA HUARONG - BOOK VALUE-OUT SHARES-FISCAL,-2.944,-2.441,-2.299,-2.341
CHINA HUARONG - PRICE TO BOOK VAL,-0.07,-0.06,-0.03,-0.04
CHINA RESOURCES PHAR - RETURN ON ASSETS,3.84,3.35,2.84,2.59
CHINA RESOURCES PHAR - TOTAL DEBT % COMMON EQUITY,129.37,101.36,95.02,110.92
CHINA RESOURCES PHAR - TOTAL DEBT % TOTAL CAPITAL/STD,45.42,37.03,35.37,37.1
CHINA RESOURCES PHAR - BOOK VALUE-OUT SHARES-FISCAL,6.265,6.478,7.397,8.115
CHINA RESOURCES PHAR - PRICE TO BOOK VAL,1.9,1.72,0.66,0.61
CHINA STATE CONSTN - RETURN ON ASSETS,4.48,4.85,4.62,4.49
CHINA STATE CONSTN - TOTAL DEBT % COMMON EQUITY,116.82,138.81,138.76,145.15
CHINA STATE CONSTN - TOTAL DEBT % TOTAL CAPITAL/STD,53.4,57.57,57.44,58.38
CHINA STATE CONSTN - BOOK VALUE-OUT SHARES-FISCAL,7.616,8.348,9.723,11.205
CHINA STATE CONSTN - PRICE TO BOOK VAL,1.34,0.88,0.63,0.46
CHOW TAI FOOK - RETURN ON ASSETS,8.03,8.14,5.21,9.81
CHOW TAI FOOK - TOTAL DEBT % COMMON EQUITY,39.67,58.76,93.03,44.33
CHOW TAI FOOK - TOTAL DEBT % TOTAL CAPITAL/STD,28,36.52,47.59,30.17
CHOW TAI FOOK - BOOK VALUE-OUT SHARES-FISCAL,3.342,3.075,2.634,3.077
CHOW TAI FOOK - PRICE TO BOOK VAL,3.22,3.27,1.92,3.89
CITIC 1616 HOLDINGS - RETURN ON ASSETS,6.7,7,6.88,7.05
CITIC 1616 HOLDINGS - TOTAL DEBT % COMMON EQUITY,77.46,72.35,65.61,58.86
CITIC 1616 HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,43.54,41.85,39.48,36.87
CITIC 1616 HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,2.468,2.562,2.661,2.741
CITIC 1616 HOLDINGS - PRICE TO BOOK VAL,0.92,1.29,1.04,1.01
CHINA TRAVEL INT'L - RETURN ON ASSETS,3.2,1.79,-1.67,0.69
CHINA TRAVEL INT'L - TOTAL DEBT % COMMON EQUITY,2.04,2.21,5.87,7.94
CHINA TRAVEL INT'L - TOTAL DEBT % TOTAL CAPITAL/STD,1.87,2.01,4.91,6.71
CHINA TRAVEL INT'L - BOOK VALUE-OUT SHARES-FISCAL,2.935,2.905,2.927,3.131
CHINA TRAVEL INT'L - PRICE TO BOOK VAL,1,0.65,0.35,0.43
DAH SING FINANCIAL - RETURN ON ASSETS,0.93,0.8,0.5,0.55
DAH SING FINANCIAL - TOTAL DEBT % COMMON EQUITY,36.35,31.37,28.25,21.37
DAH SING FINANCIAL - TOTAL DEBT % TOTAL CAPITAL/STD,22.42,19.92,18.34,14.57
DAH SING FINANCIAL - BOOK VALUE-OUT SHARES-FISCAL,75.91,83.878,88.824,94.477
DAH SING FINANCIAL - PRICE TO BOOK VAL,0.65,0.49,0.26,0.28
DAH SING BANKING - RETURN ON ASSETS,1.21,1.05,0.65,0.7
DAH SING BANKING - TOTAL DEBT % COMMON EQUITY,39.68,32.54,31.36,24.56
DAH SING BANKING - TOTAL DEBT % TOTAL CAPITAL/STD,28.4,24.54,23.87,19.71
DAH SING BANKING - BOOK VALUE-OUT SHARES-FISCAL,18.188,19.399,20.232,21.279
DAH SING BANKING - PRICE TO BOOK VAL,0.95,0.77,0.36,0.42
